date,b/m,ntis,de,dp,dy,ep,svar,infl,ltr,tbl,lty,tms,corpr,dfr,dfy,ret_1m,ret_12m,ret_1m_fwd,vol_12m
1933-09-30,1.9105945153500672,-0.008194130241741168,0.1626470834126036,-8.296660041137665,-12.817449412511676,-15.400154875049331,1.1162476733970235,0.0,0.15044447131563077,0.024933532888238685,14.369557828853603,2.006142078868262,-0.09011968807617879,0.1920970535950134,2.0996539073699725,-0.7748175921001877,0.4729848191681237,-0.5830891416802323,0.15354208862887642
1933-10-31,2.050659292757676,0.06190904056214832,0.10911047995436887,-8.125525330966038,-12.173343018015691,-14.85794366712079,2.158006879226423,0.0,-0.5963135121369791,0.05577233525490496,14.692453038605713,2.0096175308961093,0.2590836035091362,-0.6827228385399232,2.2786778930507237,-0.6015976863635768,0.5962786422560992,0.7154209303479808,0.1488182662595794
1933-11-30,1.851846563501311,0.1059964743561839,0.054922708049457286,-8.463120958453016,-11.888397983208838,-15.135664245069549,0.7516685749416359,0.0,-0.9736249267128181,0.1357763952735814,15.326779716136748,1.9944487907597819,-1.5809190102882034,0.518066487283118,2.489490431343543,0.7154601989793742,0.8861880471948723,0.1652977469681484,0.14881009824457214
1933-12-31,1.8516056487717707,0.11099149548864606,0.0,-8.591557805603106,-12.149765975045932,-15.031905680649679,0.44078468158268463,0.0,-0.7387471550450038,0.17842812999554536,15.844275669305798,1.9992650331835693,1.630477113599057,-1.9077961563238446,2.35669970586663,0.16535638568779362,0.8279818287543664,0.6770337837784846,0.14875732717319776
1934-01-31,1.7137139615371337,0.0637863311757178,-0.025045938916853472,-8.88236172207375,-12.16728307740895,-15.151699535829572,0.5262432827225078,0.0,1.6690451699792768,0.4432589289860131,15.178988994363625,1.623340632583747,1.6233571552665207,0.0,1.9387290022283497,0.6731697620402755,1.0012522182306094,-0.22206102546089843,0.14961120026484254
1934-02-28,1.7857317560924038,0.10041208632831623,-0.048566540412345524,-8.802074838452224,-11.081108609127332,-14.724670993232182,0.44347409470854177,0.9497126946721511,0.5288914396389897,0.3816990052030273,15.004520627481806,1.6637401956068154,0.9257078171444134,-0.33902057631670773,1.5176450810869369,-0.25053726483050853,1.4805117491605266,-0.0030924934325382274,0.13260628742683211
1934-03-31,1.82220494788819,0.1727427985228437,-0.0735172235509943,-8.823252967711566,-11.085257857733222,-14.502747324039602,0.5102398484872372,0.0,1.2856255217382115,0.14733625311201304,14.45674662116497,1.84408682457274,1.1875359387692426,0.05245752029706907,1.5707939911954687,-0.003071578166312082,1.396240227473673,-0.19177700645241852,0.13350924208226353
1934-04-30,1.828562157316904,0.14101991846842704,-0.09843383250904057,-8.77625376593412,-12.659547135286607,-14.221573710985103,0.15251593343732012,0.0,0.8254764374968772,0.09177867915248035,13.981665893327277,1.8548184768555667,0.6638774473349616,0.11605015011006059,1.4388035535803463,-0.26751360650350553,0.8050307032672636,-0.8007688561617199,0.09571102986095117
1934-05-31,1.9640371170858095,0.13808049602279973,-0.12185491374941405,-8.57871542874941,-13.349569527871541,-13.780426155804005,0.5944738345434061,0.0,0.8613696658118843,0.09760866247919135,13.3785453264545,1.7956102816370572,0.5776249495801757,0.21740769682871336,1.5216003457723712,-0.8544363445455987,0.11410392069196126,0.25056496556651503,0.08969938181243169
1934-06-30,1.9374755096607421,0.10811802611851665,-0.14672535085092517,-8.672791015094868,-13.888074548732142,-13.810574904101456,0.559527996770088,0.95187173524791,0.44296479339231676,0.09125553299867875,12.996175635606928,1.7824813226186724,1.0172575248842382,-0.4848210553282406,1.5977311435645003,0.27577813419411534,-0.2382919540694404,-1.475676138400451,0.0814985661602508
1934-07-31,2.115169512119288,0.05260332264635067,-0.17158138167834966,-8.371183967068548,-13.535237406728282,-13.268834417879516,0.9410187782944333,0.0,0.26593815189897546,0.09102698894965638,12.718992467197072,1.7762076351591685,0.3042924588835466,-0.03750247789786779,1.6895914608664995,-1.4198207119990103,-0.33062296091477067,0.6978702544533267,0.08470470136134794
1934-08-31,2.0146173764013224,0.3623309463125624,-0.1949599186204625,-8.559848038470058,-14.002235283625772,-13.504512980392196,0.5331807885336128,0.0,-0.7841124750509967,0.11507535750577798,13.10750190965371,1.8212896921711246,0.3059736547049454,-0.88574388439388,1.940540434105575,0.7494054106283737,-0.553611221386523,-0.043647719661367164,0.07887972338346343
1934-09-30,2.0316131843282887,0.3541807286046416,-0.21979925265353967,-8.584879644306225,-13.528136255428278,-13.481399005324398,0.39788418452410723,1.8655403566034352,-0.9676185358618841,0.12698509192022342,13.585604871740335,1.878358535138207,-0.39805807882114186,-0.4584563725501462,1.9878828027285387,-0.04820998378243092,-0.14450362453515,-0.4090098551779251,0.07141508424365613
1934-10-31,2.0216798374432794,0.43716018533369977,-0.24463517119527656,-8.533333233385068,-13.185582297782434,-13.349901073150775,0.36042109239871084,-0.9224278142608184,1.2067272742928472,0.16310560987334982,13.069694713437551,1.775224143274772,0.6688570344616496,0.43318601976986404,1.9136502143627703,-0.4376662936584588,0.10627840279143919,1.346530597697902,0.06673914278354567
1934-11-30,1.8428537912214138,0.38026059712525007,-0.26800279033757696,-8.798931733622451,-13.665535581042004,-13.704946310485152,0.16797032232581918,0.0,0.24663903310433,0.15087739403117928,12.946115750021534,1.7826362919811982,0.8493596319598334,-0.5003876014330187,1.9308009596382387,1.3930006048301813,0.03565987837530244,-0.01966750169092307,0.06451274860223687
1934-12-31,1.8326262064296628,0.3835246422092752,-0.2928365984368777,-8.825103194033431,-13.807367310019998,-13.681009755810619,0.2170652979465111,-0.9369132628773489,0.7495847978977673,0.1386748014160053,12.560737212853741,1.758111086186461,0.6682090035273034,0.06013897501387427,1.8710133775362916,-0.0198031099259784,-0.08063836840043911,-0.6579937735094945,0.06407097657707424
1935-01-31,1.884211117613363,0.38834445882470003,-0.8167741896745627,-8.74545162839116,-14.258452498935254,-12.849519203077604,0.18471897692504077,1.8495711764776535,1.2186519910887519,0.12046517276425317,11.81677380698673,1.7019922016045779,1.3956224805721107,-0.159376775664962,1.7176032921401883,-0.7510128526618118,-0.8267563420469959,-0.6242950003450196,0.05613526253374494
1935-02-28,1.8806992769271902,0.272827477817633,-1.2734890826204743,-8.672855768762352,-14.119051714815313,-12.05661760084692,0.2746712387896398,0.9087057683036097,0.6188393524560747,0.1143357698390656,11.298560152016638,1.6723744292973663,0.9359820870286027,-0.27064729405809507,1.765522730576314,-0.6236180712956583,-0.8352200990646061,-0.5205462443266962,0.05619619660806333
1935-03-31,1.924444839196998,0.2240131391610372,-1.6729209908771527,-8.62499215566577,-14.142531942975992,-11.275223498370913,0.3339690321531523,0.0,0.27720503795463897,0.09017025462220861,11.010562677364218,1.6947895281123813,0.2868943668562657,-0.011103224117193583,1.985728526957394,-0.5205115361449865,-0.9833167203714612,1.659705996038499,0.05619994382146366
1935-04-30,1.780901461765964,0.3562944788076772,-1.8169538567810302,-8.958467167800721,-14.091000444796375,-11.48136617096278,0.2667343408282924,0.9040478394003068,0.5366641932267829,0.09008856439257854,10.544185522710602,1.6653445632013413,0.7505682738701921,-0.18412826260649623,1.9479055455847576,1.4518519648750874,-0.3260107767811659,0.6212363069654154,0.06424579502190167
1935-05-31,1.770542739656034,0.36134599235302745,-1.9527296280981072,-9.115235309346877,-13.806829414295033,-11.42125452471953,0.24353361812680624,0.0,-0.38830134049697146,0.09001919970245852,10.638293548307855,1.714032401641089,0.2828639561706475,-0.5545906198442311,1.8149547007816516,0.6505833973655363,0.20704083610405638,1.0985440346822342,0.06134773896641331
